entpName,itemName,itemSeq,efcyQesitm,useMethodQesitm,atpnWarnQesitm,atpnQesitm,intrcQesitm,seQesitm,depositMethodQesitm,openDe,updateDe,itemImage,bizrno
동화약품(주),활명수,195700020,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL), 1일 3회 식후에 복용합니다. 복용간격은 4시간 이상으로 합니다.",,"만 3개월 미만의 젖먹이는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 1세 미만의 젖먹이, 임부 또는 임신하고 있을 가능성이 있는 여성, 카라멜에 과민증 환자 또는 경험자, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20210129,2024-05-09,,1108100102
신신제약(주),신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),195900034,"이 약은 티눈, 못(굳은살), 사마귀에 사용합니다.",이형지로부터 벗겨 이 약제면을 환부(질환 부위)에 대고 테이프로 고정하고 2~5일마다 교체하여 붙입니다.,,"이 약에 과민증 환자, 당뇨병, 혈액순환장애 환자는 이 약을 사용하지 마십시오.

눈 주위, 점막, 감염, 염증, 발적(충혈되어 붉어짐), 자극이 있는 부위, 점, 태어날 때부터 있는 점 또는 사마귀, 털이 있는 사마귀, 생식기 부위의 사마귀에 사용하지 마십시오.

이 약을 사용하기 전에 영아 및 유아, 약 또는 화장품에 과민증 환자, 신부전 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

화농(곪음)성피부염, 습윤(습기 참), 미란(짓무름)의 경우 이를 미리 치료한 후 이 약을 적용하십시오.

이 약을 붙인 채로 물 속에 들어가는 경우에는 약고가 녹아서 없어질 수 있으므로 주의하십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

이 약은 외용으로만 사용하십시오.

눈, 코, 입 및 다른 점막에 닿지 않도록 주의하여 적용하고, 만일 눈에 들어갔을 경우 충분한 양의 물로 완전히 씻어내십시오.

환부(질환 부위) 이외의 피부에 닿지 않도록 주의하십시오.","메토트렉세이트, 설포닐우레아, 다른 국소 적용 약물과 함께 사용 시 의사 또는 약사와 상의하십시오.","발진, 발적(충혈되어 붉어짐), 홍반(붉은 반점), 가려움, 정상 피부에 닿았을 경우 국소 자극 반응이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

드물게 피부자극, 접촉성 알레르기 반응 등이 나타날 수 있습니다.","습기와 빛을 피해 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20210129,2021-11-25,,1188104136
삼진제약(주),아네모정,195900043,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","성인 1회 2정, 1일 3회 식간(식사와 식사때 사이) 및 취침시에 복용합니다.",,"투석요법을 받고 있는 환자, 수유부, 만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 이 약에 과민증 환자, 알레르기 체질, 알레르기 증상(발진, 충혈되어 붉어짐, 가려움 등) 경험자, 신장장애 환자, 임부 또는 임신하고 있을 가능성이 있는 여성, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.","위장진통ㆍ진경제, 테트라사이클린계 항생제와 함께 복용하지 마십시오.","발진, 충혈되어 붉어짐, 가려움, 드물게 입이 마르는 증상, 변비 또는 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,20210129,2021-01-29,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035092098000085,1248531621
동아제약(주),타치온정50밀리그램(글루타티온(환원형)),197100015,"이 약은 약물중독, 자가중독에 사용합니다.","성인은 1회 1~2정(50~100 mg), 1일 1~3회 복용합니다.

연령, 증상에 따라 적절히 증감합니다.",,,,"드물게 발진, 식욕부진, 구역, 구토, 위통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20211001,2024-01-11,,2048640118
동아제약(주),타치온정50밀리그램(글루타티온(환원형)),197100015,"이 약은 약물중독, 자가중독에 사용합니다.","성인은 1회 1~2정(50~100 mg), 1일 1~3회 복용합니다.

연령, 증상에 따라 적절히 증감합니다.",,,,"드물게 발진, 식욕부진, 구역, 구토, 위통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20211001,2024-01-11,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F66kj,2048640118
(주)보령,겔포스현탁액(인산알루미늄겔),197400207,"이 약은 위·십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1포씩, 1일 3~4회 식간(식사 때와 식사 때 사이) 및 취침 시 복용합니다.

연령 또는 증상에 따라 적절히 증감합니다.",,"이 약을 복용하기 전에 신장장애, 변비 환자는 의사 또는 약사와 상의하십시오.",테트라사이클린계 항생물질과 함께 사용하지 마십시오.,변비 등이 나타날 수 있습니다.,빛을 피해 실온에서 보관하십시오.,20210225,2024-11-29,,2088100281
일양약품(주),일양노이겔현탁액(규산알루민산마그네슘),197700189,이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.,성인은 1회 1/2포~1포(0.5~1 g) 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.,,"이 약을 복용하기 전에 간장애, 심기능장애, 고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.",테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.,"때때로 설사, 구역, 구토, 변비 구갈, 가려움증 등이 나타날 수 있습니다.",빛을 피해 실온에서 보관하십시오.,20210225,2021-02-25,,2098100872
정우신약(주),자모,195900045,"이 약은 기침, 가래, 천식에 사용합니다.","성인은 1회 10 g, 11~14세는 1회 7 g, 8~10세는 1회 5 g, 5~7세는 1회 3 g씩, 1일 3회 식후에 복용합니다.",,"이 약에 과민증 환자 또는 경험자, 만 3개월 미만의 영아 및 만 2세 미만의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 약에 의한 알레르기 증상(발열, 발진, 관절통, 가려움증 등) 경험자, 꼭 필요한 경우의 만 2세 미만의 소아, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

정해진 용법과 용량을 잘 지키십시오.","이 약을 복용하는 동안 다른 진해거담제, 감기약, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약), 진정제 등을 복용하지 마십시오.

MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

복용시에는 음주하지 마십시오.","발진, 발적, 가려움, 구역, 구토, 식욕부진, 어지러움, 어지러움, 불안, 떨림, 불면 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20250831,2025-07-25,,1048158517
(주)유한양행,페니라민정(클로르페니라민말레산염),196000011,"이 약은 고초열(꽃가루 알레르기비염), 두드러기, 가려움성 피부질환(습진, 피부염, 피부가려움증, 약물발진), 알레르기 비염, 혈관운동성 코염, 코감기에 의한 재채기, 콧물, 기침, 혈관운동성 부기에 사용합니다.","성인은 1회 1~3정(2~6 mg)씩, 1일 2~4회 복용합니다.

1일 12정(24 mg)을 초과하지 마십시오.",,"이 약에 과민증 환자, 녹내장, 전립선비대 등 하부요로폐색(닫혀서 막힘)성 질환, 미숙아 및 신생아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 3세 미만 유아, 임부 및 수유부, 고령자, 안내압(눈내부 압력)상승, 갑상샘기능항진, 협착(좁아짐)성소화성궤양 또는 유문십이지장 폐색(닫혀서 막힘), 순환계질환, 고혈압 등 심혈관계 질환, 기관지염, 기관지확장증 및 천식, 간질, 간질환, 뇌졸증, 중증(심한 증상) 관상동맥(심장동맥)부전, 발작 환자 또는 경험자는 의사 또는 약사와 상의하십시오.

이 약은 복용 후 졸음을 유발할 수 있으므로 운전 및 기계조작 시 주의하십시오.","이 약을 복용하는 동안 MAO 억제제를 복용하지 마십시오.

알코올, 중추신경억제제, 페니토인을 함께 복용 시 의사 또는 약사와 상의하십시오.","청색증, 호흡곤란, 흉부불쾌감, 혈압저하, 경련, 착란, 재생불량성빈혈, 무과립구증, 발진, 햇빛 노출 시 피부 과민반응, 박리(벗겨짐)성 피부염, 두드러기, 연축(뒤당김/수축), 근허약, 협조불능, 진정, 졸음, 신경과민, 두통, 초조감, 복시(겹보임), 불면, 어지럼, 이명(귀울림), 전정장애(평형기능장애), 다행증(이상행복감), 정서불안, 히스테리, 진전(떨림), 신경염, 협조이상, 감각이상, 무시, 집중력감소, 권태감, 구갈(목마름), 가슴쓰림, 식욕부진, 소화불량, 구역, 구토, 복통(배아픔), 변비, 설사, 빈뇨, 배뇨곤란, 요폐(소변축적), 요저류(고임), 저혈압, 심계항진(두근거림), 빈맥(빠른맥), 부정맥, 기외수축(조기수축), 간염, 황달, 코 또는 기도의 건조, 기관분비액의 점성화, 천명(숨을 쌕쌕거림), 코막힘, 용혈성(적혈구 파괴성)빈혈, 혈소판감소, 간기능 장애, 오한(춥고 떨리는 증상), 발한(땀이 남)이상, 흉통(가슴통증), 피로감, 월경이상 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.",20201224,2024-11-29,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw,1188100601
일양약품(주),일양노이시린에이정(규산알루민산마그네슘),197800242,이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.,"성인은 1회 1~2정(0.5~1 g), 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.",,"이 약을 복용하기 전에 간장애, 심기능장애, 고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.",테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.,"때때로 설사, 구역, 구토, 변비 구갈, 가려움증 등이 나타날 수 있습니다.",,20210225,2021-02-25,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148674126111200110,2098100872
